Title,Description,Money,Happiness,Social,Energy,Background,MoneyReason,HappinessReason,SocialReason,EnergyReason
Win City Scavenger Hunt Prize,"You join a city-wide scavenger hunt. You run around town solving clues, find the final spot first, and win some cash and a small trophy. It’s fun and exciting, but you end the day sweaty and tired.",40,30,20,-30,#ced1e2,You get the prize money.,Winning makes you proud and excited.,You meet other players while solving clues.,Running around town all day is tiring.
Rooftop Concert You Host,"You rent sound gear, invite people, and hold a concert on your building roof. Everyone has fun, but setting up, running it, and cleaning up takes a lot out of you.",-30,35,30,-25,#e6eed5,You pay to rent gear and buy supplies.,Seeing the crowd enjoy your show feels great.,You talk with many guests and become better known.,"Setup, hosting, and cleanup wear you out."
Weekend Freelance Rush Job,You get a big project from a client that has to be done fast. You stay up late and finish on time. You make good money but are exhausted by the end.,60,10,-10,-35,#e5d2de,You get a large payment for the rush job.,Finishing on time feels good.,You isolate to focus and talk less.,Late nights and hard work drain you.
Quiet Mountain Cabin Reset,"You rent a small cabin in the woods for a weekend. You cook simple food, light a fire, and stay offline. You relax and feel calm again.",-50,35,10,40,#e8d7d3,You pay for the cabin and travel.,Quiet time in nature lifts your mood.,You chat lightly with locals.,Sleep and calm days recharge you.
Backstage Pass and Afterparty,"A friend gives you a backstage pass to a concert. You meet the band and hang out at the afterparty. It’s amazing, but you get home late.",-20,25,30,-30,#eadbd8,You spend on drinks or snacks.,Backstage access is exciting.,You meet the band and new people.,A late night leaves you tired.
Open Storm Shelter for Neighbors,"A storm hits your area. You open your house to neighbors who need shelter. Everyone stays safe, but it takes effort to help everyone.",-15,20,40,-30,#d6e4e9,You buy food and supplies for neighbors.,Helping others makes you feel proud.,You build trust with neighbors.,Hosting and helping takes effort.
Viral Sponsor Deal Lands,You post something online that goes viral. A brand contacts you and pays you for a sponsor deal. You meet new people but have to stay active online.,70,20,40,-20,#eadfec,A brand pays you for a sponsor deal.,Online success makes you happy.,You gain new followers and contacts.,Staying active online uses energy.
Midnight Train to Nearby Town,"You buy a cheap late-night train ticket to a nearby town just to explore. You walk around, eat local food, and chat with people.",-25,25,10,10,#ccc7e3,You pay for the ticket and food.,Exploring a new place refreshes you.,You chat with friendly strangers.,The quiet ride helps you relax.
Indie Film Extra for a Day,You volunteer to be an extra in a small local movie. You meet the crew and appear in one scene. It’s fun but a little tiring.,20,25,15,-10,#e2c4cc,You receive a small payment for the scene.,Being part of a movie is fun.,You meet crew and other extras.,Waiting on set tires you a bit.
Company Hackathon Win,You join a work contest where everyone codes through the night. Your team wins first place and gets a bonus.,50,20,20,-35,#eee2d2,You win prize money or get a bonus.,Winning with your team feels great.,You bond with teammates during the event.,Working through the night drains energy.
Art Pop-up Booth Sells Out,You set up a booth at an art fair and sell all your pieces. You talk to buyers all day and leave happy but tired.,60,25,20,-30,#e8d0ec,You make strong sales at your booth.,Selling out makes you proud.,You connect with buyers and artists.,Standing and talking all day tires you.
Sunrise Hot Spring Visit,"You wake up early, drive to a hot spring, and watch the sunrise in the warm water. It’s calm and peaceful.",-20,30,5,25,#ead4d7,You pay for entry and travel.,Warm water and sunrise relax you.,You share a few calm chats.,The soak helps you feel refreshed.
Silent Retreat Day Pass,You spend a day at a silent retreat—no phones or talking. You eat simple food and walk quietly. It clears your mind.,-40,25,-15,40,#f0ddf0,You pay for the day pass.,Quiet time clears your mind.,You do not talk to anyone.,Silence and rest recharge you.
Rescue Stray Dog and Vet Check,"You find a lost dog, take it to the vet, and help find its owner. It’s a little stressful but heartwarming.",-20,30,15,-15,#bfd3e5,You cover a small vet bill.,Helping the dog and owner feels good.,You meet and thank the owner.,Running the errand uses energy.
Host a Street Market on Your Block,"You organize a market on your street. You help vendors set up, play music, and talk to everyone. It’s a fun day, but you’re worn out at the end.",0,25,40,-10,#d6e1c4,Costs and small donations balance out.,Creating a fun community day lifts you.,You meet and talk with many neighbors.,A long busy day leaves you tired.
